<details> <summary> <b>lede new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
1b3faf5ca|coolsnowwolf|Mon Sep 7 01:14:08 2026 +0800|automount: skip devices that are already mounted
93b0bdd74|coolsnowwolf|Sun Sep 6 23:01:01 2026 +0800|kernel: package poly1305 library on 6.18
d35eeacbb|coolsnowwolf|Sun Sep 6 19:02:05 2026 +0800|rockchip: backport RK3588 HDMI0 device tree nodes
5827467d5|coolsnowwolf|Sun Sep 6 14:03:10 2026 +0800|netifd: restore legacy shell wireless handling
01e1aaed2|coolsnowwolf|Sun Sep 6 13:44:32 2026 +0800|d1: remove duplicate allwinner target
d0f709896|coolsnowwolf|Sun Sep 6 13:33:30 2026 +0800|sunxi: sync 6.18 support from ImmortalWrt
3dfce952e|coolsnowwolf|Sun Sep 6 12:10:07 2026 +0800|loongarch64: use kernel 6.18 by default
f9e958b9c|coolsnowwolf|Sun Sep 6 12:09:27 2026 +0800|x86: use kernel 6.18 by default
</details>
