<details> <summary> <b>luci new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
3ba0ad29cb|coolsnowwolf|Sun Sep 6 10:39:10 2026 +0800|luci-app-qbittorrent: restore profile directory option
2caa42635f|coolsnowwolf|Sun Sep 6 10:22:22 2026 +0800|luci-mod-network: fix mt_dbdc interface discovery
6b860357f6|coolsnowwolf|Sun Sep 6 05:44:11 2026 +0800|luci-theme-bootstrap: handle missing board info
0b2580f3ed|coolsnowwolf|Sun Sep 6 01:27:57 2026 +0800|luci-mod-network: limit QCA probes to configured radios
85d7bedbd1|coolsnowwolf|Sat Sep 5 22:59:34 2026 +0800|luci-app-filetransfer: fix upload file iteration
0c8d9ec798|coolsnowwolf|Sat Sep 5 20:50:53 2026 +0800|luci-app-passwall: bump to 26.9.1
62dfeee8b0|coolsnowwolf|Sat Sep 5 19:15:46 2026 +0800|luci-app-diskman: handle missing sector sizes
b59e8a8dfb|coolsnowwolf|Sat Sep 5 17:43:14 2026 +0800|luci-app-qbittorrent: show menu without UCI config
8ff7e3184e|coolsnowwolf|Sat Sep 5 16:51:40 2026 +0800|luci-app-ipsec-vpnd: restart on WAN reconnect
759c638fe2|coolsnowwolf|Sat Sep 5 16:05:35 2026 +0800|luci: fix filetransfer dependencies
df571b87c2|coolsnowwolf|Sat Sep 5 15:03:19 2026 +0800|luci-app-nikki: restore and update to 1.26.1
03a9cd80eb|coolsnowwolf|Sat Sep 5 14:43:32 2026 +0800|luci-app-ddns-go: show menu without UCI config
2d29b02887|coolsnowwolf|Sat Sep 5 14:37:46 2026 +0800|luci-app-timecontrol: run nft rules before fw4
ca78a0add6|coolsnowwolf|Sat Sep 5 14:34:12 2026 +0800|luci-app-filetransfer: restore application
</details>
