<details> <summary> <b>luci-theme-argon new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
d6dd165|SpeedPartner|Fri Dec 27 22:06:49 2024 +0800|Merge pull request #542 from SpeedPartner/18.06
1c0d436|SpeedPartner|Sun Dec 22 15:09:25 2024 +0800|Update manual_release.yml
c391381|SpeedPartner|Sun Dec 22 13:56:54 2024 +0800|Update README.md
2e351c7|SpeedPartner|Sun Dec 22 13:56:51 2024 +0800|Update README_ZH.md
2c22025|SpeedPartner|Sun Dec 22 01:34:27 2024 +0800|Update README_ZH.md
01658b4|SpeedPartner|Sun Dec 22 01:34:24 2024 +0800|Update README.md
4e2b82a|376705740@qq.com|Sat Dec 21 23:35:13 2024 +0800|Update to v1.8.4 - EOL
fa3b08a|SpeedPartner|Sat Dec 21 23:17:31 2024 +0800|Update manual_release.yml
513dd88|376705740@qq.com|Sat Dec 21 23:10:00 2024 +0800|适配 实时流量监测[luci-app-nlbwmon] 控件布局
0e32857|376705740@qq.com|Sat Dec 21 23:06:01 2024 +0800|统一代码格式
f59cd1f|376705740@qq.com|Sat Dec 21 23:03:27 2024 +0800|修复新版Edge浏览器下,最后一个子菜单[cbi-tab]显示异常
0fbfeec|376705740@qq.com|Sat Dec 21 22:55:25 2024 +0800|改进 防火墙[firewall] 显示布局
</details>
